epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,swa/n_averaged,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,0.087890625,,0.8671875,,,,,,,,,,,1.0,1.0,,,,,105,,,,,0.0,,0.0,,0.0
,,,0.06562499701976776,,0.828125,,,,,,,,,,,1.0,1.0,,,,,106,,,,,0.0,,0.0,,0.0
,,,0.1291627734899521,,0.9234360456466675,,,,,,,,,,,1.0,1.0,,,,,107,,,,,0.0,,0.0,,0.0
,,,0.0736607164144516,,0.96875,,,,,,,,,,,1.0,1.0,,,,,108,,,,,0.0,,0.0,,0.0
,,,0.05234374850988388,,0.984375,,,,,,,,,,,1.0,1.0,,,,,109,,,,,0.0,,0.0,,0.0
,,,0.090773805975914,,0.8890693187713623,,,,,,,,,,,1.0,1.0,,,,,110,,,,,0.0,,0.0,,0.0
,,,0.02734375,,0.8828125,,,,,,,,,,,1.0,1.0,,,,,111,,,,,0.0,,0.0,,0.0
,,,0.02421874925494194,,0.859375,,,,,,,,,,,1.0,1.0,,,,,112,,,,,0.0,,0.0,,0.0
,,,0.0587519034743309,,0.803985059261322,,,,,,,,,,,1.0,1.0,,,,,113,,,,,0.0,,0.0,,0.0
,,,0.0439453125,,0.734375,,,,,,,,,,,1.0,1.0,,,,,114,,,,,0.0,,0.0,,0.0
,,,0.0355902761220932,,0.703125,,,,,,,,,,,1.0,1.0,,,,,115,,,,,0.0,,0.0,,0.0
,,,0.05303776636719704,,0.6086206436157227,,,,,,,,,,,1.0,1.0,,,,,116,,,,,0.0,,0.0,,0.0
,,,0.0029296875,,0.5,,,,,,,,,,,1.0,1.0,,,,,117,,,,,0.0,,0.0,,0.0
,,,0.0078125,,0.5390625,,,,,,,,,,,1.0,1.0,,,,,118,,,,,0.0,,0.0,,0.0
,,,0.049699507653713226,,0.6606289148330688,,,,,,,,,,,1.0,1.0,,,,,119,,,,,0.0,,0.0,,0.0
,,,0.0580357126891613,,0.890625,,,,,,,,,,,1.0,1.0,,,,,120,,,,,0.0,,0.0,,0.0
,,,0.0399305559694767,,0.875,,,,,,,,,,,1.0,1.0,,,,,121,,,,,0.0,,0.0,,0.0
,,,0.10126159340143204,,0.9238029718399048,,,,,,,,,,,1.0,1.0,,,,,122,,,,,0.0,,0.0,,0.0
,,,0.07421875,,0.9296875,,,,,,,,,,,1.0,1.0,,,,,123,,,,,0.0,,0.0,,0.0
,,,0.0616319440305233,,0.96875,,,,,,,,,,,1.0,1.0,,,,,124,,,,,0.0,,0.0,,0.0
,,,0.1474313884973526,,0.8726601004600525,,,,,,,,,,,1.0,1.0,,,,,125,,,,,0.0,,0.0,,0.0
,,,0.05000000074505806,,0.8515625,,,,,,,,,,,1.0,1.0,,,,,126,,,,,0.0,,0.0,,0.0
,,,0.05234374850988388,,0.8828125,,,,,,,,,,,1.0,1.0,,,,,127,,,,,0.0,,0.0,,0.0
