import time: self [us] | cumulative | imported package
import time:       416 |        416 |                                 pprint
import time:      1304 |       3748 |                               pdb
import time:      1544 |       1544 |                                 torch.utils._typing_utils
import time:      1222 |       1222 |                                     _hashlib
import time:       154 |        154 |                                     _blake2
import time:       734 |       2109 |                                   hashlib
import time:      3071 |       3071 |                                   torch.monitor
import time:      1688 |       1688 |                                     torch.distributed.logging_handlers
import time:      2182 |       3870 |                                   torch.distributed.c10d_logger
import time:      1907 |       1907 |                                   torch.distributed.constants
import time:      2877 |       2877 |                                   torch.distributed.rendezvous
import time:      5206 |      19038 |                                 torch.distributed.distributed_c10d
import time:      4425 |      25005 |                               torch.distributed.device_mesh
import time:      3605 |       3605 |                               torch.distributed.remote_device
import time:      7455 |      39812 |                             torch.distributed
import time:      1796 |       1796 |                                             torch.utils.data.datapipes._hook_iterator
import time:      2203 |       3999 |                                           torch.utils.data.datapipes._typing
import time:     18602 |      18602 |                                             torch.utils._import_utils
import time:      3034 |       3034 |                                               torch.utils.data.datapipes.utils
import time:      4887 |       7921 |                                             torch.utils.data.datapipes.utils.common
import time:      2704 |       2704 |                                             torch.utils.data.dataset
import time:      1905 |       1905 |                                               dill.__info__
import time:      1937 |       1937 |                                                 dill.logger
import time:      1449 |       1449 |                                                 _pyio
import time:      1639 |       1639 |                                                 dill._shims
import time:     11950 |      11950 |                                                 dill.settings
import time:       222 |        222 |                                                 winreg
import time:      8558 |      25753 |                                               dill._dill
import time:      2816 |       2816 |                                               dill.session
import time:      1766 |       1766 |                                                 dill.pointers
import time:      1622 |       3387 |                                               dill.detect
import time:      1672 |       1672 |                                               dill.source
import time:      1429 |       1429 |                                               dill.temp
import time:      1611 |       1611 |                                               dill.objtypes
import time:      2686 |      41255 |                                             dill
import time:      3076 |      73556 |                                           torch.utils.data.datapipes.datapipe
import time:      1937 |      79491 |                                         torch.utils.data.datapipes._decorator
import time:      2076 |       2076 |                                           torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:      1545 |       3620 |                                         torch.utils.data.datapipes.dataframe.structures
import time:      3924 |      87034 |                                       torch.utils.data.datapipes.dataframe.dataframes
import time:      2001 |       2001 |                                       torch.utils.data.datapipes.dataframe.datapipes
