epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW-1,lr-AdamW/pg1,lr-AdamW/pg10,lr-AdamW/pg11,lr-AdamW/pg12,lr-AdamW/pg13,lr-AdamW/pg14,lr-AdamW/pg15,lr-AdamW/pg16,lr-AdamW/pg17,lr-AdamW/pg18,lr-AdamW/pg19,lr-AdamW/pg2,lr-AdamW/pg20,lr-AdamW/pg21,lr-AdamW/pg22,lr-AdamW/pg23,lr-AdamW/pg24,lr-AdamW/pg25,lr-AdamW/pg26,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,lr-AdamW/pg7,lr-AdamW/pg8,lr-AdamW/pg9,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,0.0703125,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,37,,,,0.0,,0.0,,0.0
,,,0.0673828125,,0.984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,38,,,,0.0,,0.0,,0.0
,,,0.10790598392486572,,0.8918192982673645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,39,,,,0.0,,0.0,,0.0
,,,0.0625,,0.8359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,40,,,,0.0,,0.0,,0.0
,,,0.0451388880610466,,0.8203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,41,,,,0.0,,0.0,,0.0
,,,0.10568182170391083,,0.8113636374473572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,42,,,,0.0,,0.0,,0.0
,,,0.05078125,,0.6953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,43,,,,0.0,,0.0,,0.0
,,,0.0439453125,,0.6640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,44,,,,0.0,,0.0,,0.0
,,,0.06351689994335175,,0.6117020845413208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,45,,,,0.0,,0.0,,0.0
,,,0.0011160714784637094,,0.421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,46,,,,0.0,,0.0,,0.0
,,,0.0011160714784637094,,0.4765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,47,,,,0.0,,0.0,,0.0
,,,0.00390625,,0.5390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,48,,,,0.0,,0.0,,0.0
,,,0.023622047156095505,,0.27165353298187256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,49,,,,0.0,,0.0,,0.0
,,,0.02734375,,0.5390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,50,,,,0.0,,0.0,,0.0
,,,0.0234375,,0.484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,51,,,,0.0,,0.0,,0.0
,,,0.07963874936103821,,0.8390804529190063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,52,,,,0.0,,0.0,,0.0
,,,0.02734375,,0.7890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,53,,,,0.0,,0.0,,0.0
,,,0.0263671875,,0.7734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,54,,,,0.0,,0.0,,0.0
,,,0.07453245669603348,,0.8542354106903076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,55,,,,0.0,,0.0,,0.0
,,,0.0725446417927742,,0.9140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,56,,,,0.0,,0.0,,0.0
,,,0.0634765625,,0.8984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,57,,,,0.0,,0.0,,0.0
,,,0.19166666269302368,,0.9166666269302368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,58,,,,0.0,,0.0,,0.0
,,,0.02901785634458065,,0.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,59,,,,0.0,,0.0,,0.0
,,,0.0364583320915699,,0.9765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,60,,,,0.0,,0.0,,0.0
,,,0.04247745871543884,,0.7848837375640869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,61,,,,0.0,,0.0,,0.0
,,,0.004464285913854837,,0.5234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,62,,,,0.0,,0.0,,0.0
,,,0.00434027798473835,,0.6015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,63,,,,0.0,,0.0,,0.0
,,,0.008333333767950535,,0.5212389230728149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,64,,,,0.0,,0.0,,0.0
,,,0.0,,0.3828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,65,,,,0.0,,0.0,,0.0
,,,0.0,,0.40625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,66,,,,0.0,,0.0,,0.0
,,,0.05727272480726242,,0.6898989677429199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,67,,,,0.0,,0.0,,0.0
,,,0.0668402761220932,,0.9921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,68,,,,0.0,,0.0,,0.0
